Words        File            No
boolean      Voo.java        1 
catch        Exer2.java      1 
char         Exer4.java      1 
class        Exer1.java      1 
class        Exer2.java      1 
class        Exer3.java      1 
class        Exer4.java      1 
class        Voo.java        1 
do           Exer3.java      1 
do           Voo.java        1 
else         Exer1.java      2 
else         Exer2.java      1 
else         Voo.java        5 
final        Exer1.java      1 
final        Voo.java        1 
for          Exer1.java      1 
for          Exer2.java      1 
if           Voo.java        18
import       Exer1.java      4 
import       Exer2.java      11
import       Exer3.java      4 
import       Exer4.java      4 
int          Exer2.java      1 
int          Exer4.java      1 
int          Voo.java        10
new          Exer1.java      3 
new          Exer2.java      12
new          Exer3.java      3 
new          Exer4.java      3 
package      Exer1.java      1 
package      Exer2.java      1 
package      Exer3.java      1 
package      Exer4.java      1 
package      Voo.java        1 
private      Voo.java        2 
public       Exer1.java      2 
public       Exer2.java      2 
public       Exer3.java      3 
public       Exer4.java      2 
public       Voo.java        18
return       Exer3.java      1 
return       Voo.java        24
static       Exer1.java      1 
static       Exer2.java      1 
static       Exer3.java      2 
static       Exer4.java      1 
throws       Exer4.java      1 
try          Exer1.java      1 
try          Exer2.java      1 
void         Exer1.java      1 
void         Exer2.java      1 
void         Exer3.java      1 
void         Exer4.java      1 
void         Voo.java        6 
while        Exer1.java      1 
while        Exer2.java      2 
while        Exer4.java      1 
